Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
My Country: The New Age,"Oct 4, 2019 - Nov 23, 2019",2019,"jTBC, Netflix","Friday, Saturday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,"Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about ""my country."" Seo Hwi is a warrior. His father Seo Geom is a famous commander. Seo Hwi does not compromise when it comes to injustice. His life devolves into a hellish existence, but he still holds a smile. Nam Sun Ho is smart and a talented figure. Because his mother was born into the lowest class, Nam Sun Ho is looked down upon by other people. He wants to pass the military service examination. Due to a corruption scandal involving his father, Nam Sun Ho loses his dream. Making things worse, he comes into conflict with Seo Hwi over a misunderstanding.","Action, Historical, Romance, Drama","Friendship, Multiple Mains, Bromance, Joseon Dynasty, Strong Male Lead, Power Struggle, War, Smart Female Lead, First Love, Evil Parental Figure",Kim Jin Won,Chae Seung Dae,"Yang Se Jong, Woo Do Hwan, Kim Seol Hyun, Jang Hyuk, Kim Yeong Cheol, Ahn Nae Sang","Celltrion Entertainment, My Country SPC",#170
Sell Your Haunted House,"Apr 14, 2021 - Jun 9, 2021",2021,KBS2,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Ji Ah, a woman who has inherited exorcism abilities from her mother, is the owner of Daebak Realty, a company that specializes in selling haunted houses. Ji Ah looks perfect and is also brilliant, but her hot temper makes her fists fly before her words. One day, Ji Ah encounters a conman named In Beom who specializes in exorcism fraud. Late at night when Daebak Realty operates, In Beom visits Ji Ah to make an offer. He suggests that they team up to exclusively sell houses that are haunted by vengeful spirits and lingering ghosts. Can the two get along well and deal with house prices, ghosts, and their sorrowful stories?","Thriller, Mystery, Comedy, Fantasy","Ghost, Supernatural, Exorcism, Strong Female Lead, Smart Female Lead, Cold Female Lead, Suspense, Crime, Secret, Death",Park Jin Suk,"Ha Soo Jin, Jung Yeon Seo, Lee Young Hwa","Jang Na Ra, Jung Yong Hwa, Kang Hong Suk, Kang Mal Geum, Baek Eun Hye, Ahn Kil Kang","Monster Union, May Queen Pictures",#171
Player,"Sep 29, 2018 - Nov 11, 2018",2018,OCN,"Saturday, Sunday",14,1 hr. 5 min.,,8.4,"A police redemption team consisting of a swindler, a fighter, an elite hacker, and a talented driver is asked to take back property hidden away by criminals. The driver, Cha Ah Ryung, grew up on the streets after being abandoned by her parents.","Action, Thriller, Mystery, Comedy","Strong Female Lead, Corruption, Hidden Identity, Conspiracy, Double Identity, Fight, Gang, Unusual Friendship, Badass Male Lead, Hardworking Male Lead",Go Jae Hyun,Shin Jae Hyung,"Song Seung Heon, Krystal Jung, Lee Si Eon, Tae Won Seok, Kim Won Hae, Ahn Se Ho",iWill Media,#172
The Legend of the Blue Sea,"Nov 16, 2016 - Jan 25, 2017",2016,SBS,"Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.4,"How can a mermaid from the Joseon era survive in modern society? Shim Chung is a mermaid who follows her one true love, a nobleman’s son named Kim Ryung from the Joseon Dynasty, to modern-day Seoul. Ryung’s modern doppelgänger is Heo Joon Jae, a highly skilled scam artist who first becomes interested in Shim Chung because of a jade bracelet worth $6 million that Shim Chung wears. With nowhere to go, Shim Chung is taken in by Joon Jae, who also finds his con partners, Jo Nam Doo and Tae Oh, hiding out in his home from a vengeful past victim of their scams. Shim Chung discovers a rival for Joon Jae’s heart in Cha Shi Ah, a researcher at KAIST who deals with ancient artifacts. When a dangerous killer named Ma Dae Yeong, sent by Joon Jae’s stepmother who wants to make her own son the heir to Joon Jae’s fortunes, can Shim Chung survive her strange new environment while also helping Joon Jae avoid the dangers that await him?","Comedy, Romance, Drama, Fantasy","Naive Female Lead, Interspecies Romance, Eccentric Female Lead, Cohabitation, Evil Stepmother, First Love, Sassy Female Lead, Hidden Identity, Nice Male Lead, Bromance",Jin Hyeok,Park Ji Eun,"Lee Min Ho, Jun Ji Hyun, Lee Hee Joon, Shin  Won Ho, Shin Hye Sun, Moon So Ri","Culture Depot, Studio Dragon",#173
Come and Hug Me,"May 16, 2018 - Jul 19, 2018",2018,MBC,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,"This is the story of a tragic love that spans 12 years. When they were children, Yoon Na Moo and Gil Nak Won were each others first love. They are forced to break apart when Na Moo's father Yoon Hee Jae, a psychopath serial killer, murders Nak Won's parents. 9 years later Yoon Na Moo is known as Chae Do Jin, a passionate and kind rookie detective wishing to atone for his father's sins. And Gil Nak Won is now Han Jae Yi, an aspiring actress following in the footsteps of her mother. She suffers from a panic disorder but still has a good outlook on life. However, the sadness of their past comes to light again and their short-lived encounter is over before it began. Another three years on, Jae Yi has become a popular actress and Do Jin is now an experienced detective. When their fate becomes connected once more, will their love prove to be stronger than their past?","Thriller, Mystery, Romance, Melodrama","Evil Parental Figure, Trauma, Nice Male Lead, Healing, First Love, Violence, Strong Female Lead, Successful Female Lead, Calm Male Lead, Murder",Choi Joon Bae,Lee Ah Ram,"Jang Ki Yong, Jin Ki Joo, Heo Joon Ho, Yoon Jong Hoon, Kim Kyung Nam, Seo Jung Yeon","Company Ching, Imagine Asia",#174
Partners for Justice,"May 14, 2018 - Jul 17, 2018",2018,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.4,"Baek Beom has worked as a forensic doctor for 10 years, he is excellent with his work, but does not open his mind to other people. Eun Sol is a rookie prosecutor with a  bright personality and she comes from a wealthy family. The forensic scientist with a bad personality and a warm-hearted prosecutor must join forces in order to catch a serial killer.","Thriller, Mystery, Law, Medical","Forensic Medical Examiner Male Lead, Prosecutor Female Lead, Forensic Science, Lieutenant Supporting Character, Serial Killer Supporting Character, Criminal Supporting Character, Age Gap [Drama Life], Age Gap [Real Life], Warm Female Lead, Smart Female Lead",Noh Do Cheol,"Min Ji Eun, Won Young Shil","Jung Jae Young, Jung Yoo Mi, Lee Yi Kyung, Park Eun Seok, Stephanie Lee, Joo Jin Mo",HB Entertainment,#175
Seasons of Blossom,"Sep 21, 2022 - Nov 2, 2022",2022,Wavve,Wednesday,16,25 min.,13+ - Teens 13 or older,8.4,"A story of love and friendship between five high school students from Seoyeon High School. Lee Ha Min appears like a bright person, but there is also darkness within his mind. Han So Mang is a warm-hearted person, but she is also quite timid. Lee Jae Min is a popular student with a painful past. He is kind to everyone around him. Yoon Bo Mi is a sweet, model student. Choi Jin Young loves playing games. He can seem unfriendly and has a delicate personality.","Comedy, Romance, Youth, Drama","Student, Suicide, Flashback To Past, Death, School, Friendship, Childhood Friends' Relationship, Teenager Female Lead, Teenager Male Lead, Teacher Female Lead",Wang Hye Ryung,"Kim Na Neui, Park Yoon Sung","Seo Ji Hoon, So Ju Yeon, Kim Min Kyu, Kang Hye Won, Yoon Hyun Soo, Oh Yu Jin",Copus Korea,#176
The Tale of Nokdu,"Sep 30, 2019 - Nov 25, 2019",2019,KBS2,"Monday, Tuesday",32,33 min.,15+ - Teens 15 or older,8.4,"Jeon Nok Du lives on an island with his father and older brother. He is smart and a good swordsman. Since he was little, his father did not let him study or go to the mainland. One day, his father and older brother are attacked by a group of female assassins. Jeon Nok Du chases after one of the assassins to the capital. During that time, Jeon Nok Du meets Dong Dong Ju. She wants to shoot the King with her arrow, but Jeon Nok Du saves her from trouble. Meanwhile, the assassin that Jeon Nok Du chases goes into a widowed village. To find out who and why his family was attacked, Jeon Nok Du disguises himself as a woman and enters the widow's village. There, he meets Dong Dong Ju again. She is an apprentice to become a gisaeng.","Action, Historical, Comedy, Romance","Cross-Dressing, Joseon Dynasty, Hidden Identity, Strong Male Lead, Birth Secret, Strong Female Lead, Gender Bender, First Love, Martial Arts Master, Smart Male Lead","Kim Dong Hwi, Lee Hyun Jin, Kang Soo Yeon","Baek So Yeon, Im Ye Jin","Jang Dong Yoon, Kim So Hyun, Kang Tae Oh, Jung Joon Ho, Kim Tae Woo, Yoon Yoo Sun","The Tale of Nokdu Production Partners, Production H, Monster Union",#177
Psychopath Diary,"Nov 20, 2019 - Jan 9, 2020",2019,tvN,"Wednesday, Thursday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,"Yook Dong Shik is a 34-year-old office worker who is so weak and timid that he is used by everybody around him. After an incident, he becomes the scapegoat of his company, and so facing losing his job and his family turning their back on him, he decides to commit suicide. While doing so, he unexpectedly stumbles across a murder scene, but gets into an accident while running from the murderer. He wakes up with amnesia with the psychopath's diary in his possession. With no clues to his true nature other than the diary, and his fragmented memory lining up with the diary entry, he begins to believe that he is in fact a psychopath serial killer. 30-year-old neighborhood police officer, Shim Bo Kyung is investigating a suspected serial homicide. After a few run-ins with Dong Shik, she believes that he is an extremely kind man. However, after one too many coincidences, she starts to suspect Dong Shik might be more involved in the case than she thought. 36-year-old Seo In Woo is a cold and meticulous psychopath. On the day of his 7th crime, things go wrong and he loses his diary where he writes of all his daily life and detailed description of his murders.","Thriller, Mystery, Comedy, Crime","Black Comedy, Amnesia, Personality Change, Nice Male Lead, Misunderstanding, Wrongfully Accused, Investigation, Murder, Smart Female Lead, Workplace Abuse",Lee Jong Jae,"Ryu Yong Jae, Kim Hwan Chae, Choi Sung Joon","Yoon Shi Yoon, Jung In Sun, Park Sung Hoon, Lee  Han Wi, Hwang Geum Byul, Kim Kyul",KeyEast,#178
The Beauty Inside,"Oct 1, 2018 - Nov 20, 2018",2018,jTBC,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Han Se Gye is a top actress, also known as a troublemaker, with many rumors around her. To others, her life appears as a mystery, when in fact she is faced with a strange occurrence where she must change into a different body and new identity for one week a month. She encounters Seo Do Jae, a brilliant man who is an executive at an airline company. He seems to have it all: a perfect appearance, knowledge, and a good job; but he has a secret too. He suffers from Prosopagnosia, the inability to recognize faces. However, he manages to hide this from the world, every day he makes an effort to remember people by their personalities. Seo Do Jae's life begins to change when he meets Han Se Gye. She is the only person whose face he can recognize. But with Han Se Gye's constant disappearance and change, how long can she keep her secret?","Comedy, Romance, Melodrama, Supernatural","Prosopagnosia, Successful Male Lead, Strong Female Lead, Calm Male Lead, Secondary Couple, Contract Relationship, Famous Female Lead, Rich Female Lead, Rich Male Lead, Sismance",Song Hyun Wook,Im Me Ah Ri,"Seo Hyun Jin, Lee Min Ki, Lee Da Hee, Ahn Jae Hyun, Lee Tae Ri, Moon Ji In","Studio&NEW, Yong Film",#179
Tale of the Nine-Tailed,"Oct 7, 2020 - Dec 3, 2020",2020,tvN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"The mythical nine-tailed fox, or gumiho, Lee Yeon had to settle in the city many centuries ago. Able to transform into human form, he eradicates supernatural beings that threaten the mortal world. His real aim is to find the reincarnation of his lost first love. The talented television producer Nam Ji Ah works in a show that features urban myths. In the past, her parents were involved in a mysterious car accident and disappeared, and she suspects that Lee Yeon might be connected with this accident. The half-brother to Lee Yeon is the captivating Lee Rang. Despite being half-human himself, he harbors a deep-seated contempt for all people. For sport, he will unleash his seductive prowess upon his human-du-jour, by promising to grant them their wishes, only to trick them into paying a hefty price for their earthly desires.","Thriller, Horror, Romance, Fantasy","Nine-tailed Fox, Reincarnation, Supernatural, Sibling Rivalry, Fated Love, Interspecies Romance, Mythical Being, Hardworking Female Lead, Smart Female Lead, Strong Female Lead","Kang Shin Hyo, Jo Nam Hyung",Han Woo Ri,"Lee Dong Wook, Jo Bo Ah, Kim Bum, Kim Yong Ji, Hwang Hee, Kim Jung Nan","Studio Dragon, HOW Pictures",#180
The Good Detective,"Jul 6, 2020 - Aug 25, 2020",2020,jTBC,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"When doubts arise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths. Kang Do Chang is an 18-year veteran detective who one day, arrests an alleged murderer named Lee Dae Chul. The court later sentences him to death but when reviewing the file of his case, Do Chang discovers evidence that would clear Dae Chul. With time is running out as the mounting evidence threatens to expose the error, Do Chang is caught between seeking power and seeking justice when he meets Oh Ji Hyuk, an elite detective from the police force. These opposites partners begin working together.","Action, Thriller, Mystery, Drama","Wrongfully Accused, Corruption, Investigation, Smart Male Lead, Bromance, Corrupt Legal System, Murder, Crime, Detective Male Lead, Suspense",Jo Nam Gook,Choi Jin Won,"Son Hyun Joo, Jang Seung Jo, Lee Elijah, Oh Jung Se, Ji Seung Hyun, Son Jong Hak","Blossom Story, JTBC Studios",#181
